system   D            wsystem.c:583  maybe_parent_dir                 [   0.00070] Also searching C:\Users\WiLL\documents\visual studio 2012\Projects\Allegro\AllegroTest01\
system   D            wsystem.c:633  _al_win_safe_load_library        [   0.00095] PathFindOnPath found: C:\Windows\system32\d3d9.dll
system   D            wsystem.c:544  load_library_at_path             [   0.00097] Calling LoadLibrary C:\Windows\system32\d3d9.dll
system   I            wsystem.c:547  load_library_at_path             [   0.00562] Loaded C:\Windows\system32\d3d9.dll
d3d      I         d3d_disp.cpp:695  _al_d3d_init_display             [   0.05991] Render-to-texture: 1
system   I             system.c:272  al_install_system                [   0.05995] Allegro version: 5.0.8
d3d      I         d3d_disp.cpp:1732 d3d_create_display_locked        [   0.06404] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1733 d3d_create_display_locked        [   0.06407] al_display=00ED2020
d3d      D         d3d_disp.cpp:1734 d3d_create_display_locked        [   0.06409] al_display->vt=00ED1F58
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.11413] found 64 format combinations
display  D   display_settings.c:191  debug_display_settings           [   0.11416] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11418] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11419] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11421] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11422] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11423] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11425] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11426] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11427] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11428] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11429] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11430] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11431] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11432] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11433] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11435] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11436] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11437] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11438] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11439] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11440] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11441] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11442] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11447] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11449] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11450] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11451] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11452] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11453] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11455] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11456] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11457] Score is : 897
display  D   display_settings.c:191  debug_display_settings           [   0.11458] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11459] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11460] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11461] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11462] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11464] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11465] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11466] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11468] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11469] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11470] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11471] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11472] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11473] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11474] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11476] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11477] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11478] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11479] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11481] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11482] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11483] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11484] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11486] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11487] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11488] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11489] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11490] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11491] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11492] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11493] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.11495] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.11496] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11497] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11498] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11499] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11500] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11501] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11502] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11504] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11504] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11506] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11507] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11508] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11509] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11510] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11511] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11512] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11513] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11514] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11515] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11517] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11518] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11519] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11520] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11521] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11522] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:506  _al_score_display_settings       [   0.11523] Score is : 769
display  D   display_settings.c:191  debug_display_settings           [   0.11524] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
